content,score,at,case_folding,cleansing,tokenizing,stopword_removal,stemming,hasil_preprocessing
Recommended,5,2024-04-15 05:07:18,recommended,recommended,['recommended'],['recommended'],['recommended'],recommended
"Untuk metode pembayaran, gopay dong tolong d masukan..",5,2024-04-14 23:10:22,"untuk metode pembayaran, gopay dong tolong d masukan..",untuk metode pembayaran gopay dong tolong d masukan,"['untuk', 'metode', 'pembayaran', 'gopay', 'dong', 'tolong', 'd', 'masukan']","['metode', 'pembayaran', 'gopay', 'dong', 'd', 'masukan']","['metode', 'bayar', 'gopay', 'dong', 'd', 'masuk']",metode bayar gopay dong d masuk
gampang operasikan aplikasinya. langsung dapat kuota payletter. mantab,5,2024-04-14 19:55:56,gampang operasikan aplikasinya. langsung dapat kuota payletter. mantab,gampang operasikan aplikasinya langsung dapat kuota payletter mantab,"['gampang', 'operasikan', 'aplikasinya', 'langsung', 'dapat', 'kuota', 'payletter', 'mantab']","['gampang', 'operasikan', 'aplikasinya', 'langsung', 'kuota', 'payletter', 'mantab']","['gampang', 'operasi', 'aplikasi', 'langsung', 'kuota', 'payletter', 'mantab']",gampang operasi aplikasi langsung kuota payletter mantab
oke,5,2024-04-14 19:15:57,oke,oke,['oke'],['oke'],['oke'],oke
pelayanan baik,5,2024-04-14 17:18:07,pelayanan baik,pelayanan baik,"['pelayanan', 'baik']","['pelayanan', 'baik']","['layan', 'baik']",layan baik
Aplikasi nya berjalan lancar,5,2024-04-14 15:36:30,aplikasi nya berjalan lancar,aplikasi nya berjalan lancar,"['aplikasi', 'nya', 'berjalan', 'lancar']","['aplikasi', 'nya', 'berjalan', 'lancar']","['aplikasi', 'nya', 'jalan', 'lancar']",aplikasi nya jalan lancar
Aplikasi yg cukup bkin kesal...mengisi tanggal yg cukup ribet dgn bug yg sangat menggangu...tiap kali isi tanggal utk data apa pun pasti akan kembali ke tanggal yg awal!!!! Sangat2 menggangu!!,1,2024-04-14 11:40:21,aplikasi yg cukup bkin kesal...mengisi tanggal yg cukup ribet dgn bug yg sangat menggangu...tiap kali isi tanggal utk data apa pun pasti akan kembali ke tanggal yg awal!!!! sangat2 menggangu!!,aplikasi yg cukup bkin kesal mengisi tanggal yg cukup ribet dgn bug yg sangat menggangu tiap kali isi tanggal utk data apa pun pasti akan kembali ke tanggal yg awal sangat menggangu,"['aplikasi', 'yg', 'cukup', 'bkin', 'kesal', 'mengisi', 'tanggal', 'yg', 'cukup', 'ribet', 'dgn', 'bug', 'yg', 'sangat', 'menggangu', 'tiap', 'kali', 'isi', 'tanggal', 'utk', 'data', 'apa', 'pun', 'pasti', 'akan', 'kembali', 'ke', 'tanggal', 'yg', 'awal', 'sangat', 'menggangu']","['aplikasi', 'yg', 'cukup', 'bkin', 'kesal', 'mengisi', 'tanggal', 'yg', 'cukup', 'ribet', 'dgn', 'bug', 'yg', 'sangat', 'menggangu', 'tiap', 'kali', 'isi', 'tanggal', 'utk', 'data', 'apa', 'tanggal', 'yg', 'awal', 'sangat', 'menggangu']","['aplikasi', 'yg', 'cukup', 'bkin', 'kesal', 'isi', 'tanggal', 'yg', 'cukup', 'ribet', 'dgn', 'bug', 'yg', 'sangat', 'menggangu', 'tiap', 'kali', 'isi', 'tanggal', 'utk', 'data', 'apa', 'tanggal', 'yg', 'awal', 'sangat', 'menggangu']",aplikasi yg cukup bkin kesal isi tanggal yg cukup ribet dgn bug yg sangat menggangu tiap kali isi tanggal utk data apa tanggal yg awal sangat menggangu
Hotel fiktif..,1,2024-04-14 01:01:50,hotel fiktif..,hotel fiktif,"['hotel', 'fiktif']","['hotel', 'fiktif']","['hotel', 'fiktif']",hotel fiktif
Sy sudah pesan dan membayar hotel. Tapi saat mau menginap tidak ada nama saya. Jadi jam 11 malam sy harus mencari penginapan lagi disaat keadaan high season,1,2024-04-13 23:40:07,sy sudah pesan dan membayar hotel. tapi saat mau menginap tidak ada nama saya. jadi jam 11 malam sy harus mencari penginapan lagi disaat keadaan high season,sy sudah pesan dan membayar hotel tapi saat mau menginap tidak ada nama saya jadi jam malam sy harus mencari penginapan lagi disaat keadaan high season,"['sy', 'sudah', 'pesan', 'dan', 'membayar', 'hotel', 'tapi', 'saat', 'mau', 'menginap', 'tidak', 'ada', 'nama', 'saya', 'jadi', 'jam', 'malam', 'sy', 'harus', 'mencari', 'penginapan', 'lagi', 'disaat', 'keadaan', 'high', 'season']","['sy', 'pesan', 'membayar', 'hotel', 'mau', 'menginap', 'nama', 'jadi', 'jam', 'malam', 'sy', 'mencari', 'penginapan', 'disaat', 'keadaan', 'high', 'season']","['sy', 'pesan', 'bayar', 'hotel', 'mau', 'inap', 'nama', 'jadi', 'jam', 'malam', 'sy', 'cari', 'inap', 'saat', 'ada', 'high', 'season']",sy pesan bayar hotel mau inap nama jadi jam malam sy cari inap saat ada high season
"Sangat jelek, katanya tersedia kamar setelah payment dan datang ke hotel ternyata hotel penuh. Di refund tidak bisa. Di reschedule juga tidak bisa. Cari untung sendiri. Tapi tidak memberikan pelayanan yg bagus. Uang hangus, aplikasi menipu.",1,2024-04-13 23:37:23,"sangat jelek, katanya tersedia kamar setelah payment dan datang ke hotel ternyata hotel penuh. di refund tidak bisa. di reschedule juga tidak bisa. cari untung sendiri. tapi tidak memberikan pelayanan yg bagus. uang hangus, aplikasi menipu.",sangat jelek katanya tersedia kamar setelah payment dan datang ke hotel ternyata hotel penuh di refund tidak bisa di reschedule juga tidak bisa cari untung sendiri tapi tidak memberikan pelayanan yg bagus uang hangus aplikasi menipu,"['sangat', 'jelek', 'katanya', 'tersedia', 'kamar', 'setelah', 'payment', 'dan', 'datang', 'ke', 'hotel', 'ternyata', 'hotel', 'penuh', 'di', 'refund', 'tidak', 'bisa', 'di', 'reschedule', 'juga', 'tidak', 'bisa', 'cari', 'untung', 'sendiri', 'tapi', 'tidak', 'memberikan', 'pelayanan', 'yg', 'bagus', 'uang', 'hangus', 'aplikasi', 'menipu']","['sangat', 'jelek', 'katanya', 'tersedia', 'kamar', 'payment', 'datang', 'hotel', 'ternyata', 'hotel', 'penuh', 'refund', 'reschedule', 'cari', 'untung', 'sendiri', 'memberikan', 'pelayanan', 'yg', 'bagus', 'uang', 'hangus', 'aplikasi', 'menipu']","['sangat', 'jelek', 'kata', 'sedia', 'kamar', 'payment', 'datang', 'hotel', 'nyata', 'hotel', 'penuh', 'refund', 'reschedule', 'cari', 'untung', 'sendiri', 'beri', 'layan', 'yg', 'bagus', 'uang', 'hangus', 'aplikasi', 'tipu']",sangat jelek kata sedia kamar payment datang hotel nyata hotel penuh refund reschedule cari untung sendiri beri layan yg bagus uang hangus aplikasi tipu
good job,5,2024-04-13 20:54:59,good job,good job,"['good', 'job']","['good', 'job']","['good', 'job']",good job
okkeeeee,5,2024-04-13 20:30:15,okkeeeee,okkeeeee,['okkeeeee'],['okkeeeee'],['okkeeeee'],okkeeeee
👍👍👍sll bs d andalkan,4,2024-04-13 19:37:44,👍👍👍sll bs d andalkan,sll bs d andalkan,"['sll', 'bs', 'd', 'andalkan']","['sll', 'bs', 'd', 'andalkan']","['sll', 'bs', 'd', 'andal']",sll bs d andal
"HADUHHH BAGAIMANA SIH!!, katanya aman, udh di transfer eh pas mau kesana malah penuh KALAU GA BECUS BUBARIN AJA, udh gitu lama prosesnya, akhirnya gajadi pesan, ngemper, puas!",1,2024-04-13 19:28:51,"haduhhh bagaimana sih!!, katanya aman, udh di transfer eh pas mau kesana malah penuh kalau ga becus bubarin aja, udh gitu lama prosesnya, akhirnya gajadi pesan, ngemper, puas!",haduhhh bagaimana sih katanya aman udh di transfer eh pas mau kesana malah penuh kalau ga becus bubarin aja udh gitu lama prosesnya akhirnya gajadi pesan ngemper puas,"['haduhhh', 'bagaimana', 'sih', 'katanya', 'aman', 'udh', 'di', 'transfer', 'eh', 'pas', 'mau', 'kesana', 'malah', 'penuh', 'kalau', 'ga', 'becus', 'bubarin', 'aja', 'udh', 'gitu', 'lama', 'prosesnya', 'akhirnya', 'gajadi', 'pesan', 'ngemper', 'puas']","['haduhhh', 'bagaimana', 'sih', 'katanya', 'aman', 'udh', 'transfer', 'eh', 'pas', 'mau', 'kesana', 'malah', 'penuh', 'kalau', 'ga', 'becus', 'bubarin', 'aja', 'udh', 'gitu', 'lama', 'prosesnya', 'akhirnya', 'gajadi', 'pesan', 'ngemper', 'puas']","['haduhhh', 'bagaimana', 'sih', 'kata', 'aman', 'udh', 'transfer', 'eh', 'pas', 'mau', 'kesana', 'malah', 'penuh', 'kalau', 'ga', 'becus', 'bubarin', 'aja', 'udh', 'gitu', 'lama', 'proses', 'akhir', 'gajadi', 'pesan', 'ngemper', 'puas']",haduhhh bagaimana sih kata aman udh transfer eh pas mau kesana malah penuh kalau ga becus bubarin aja udh gitu lama proses akhir gajadi pesan ngemper puas
aplikasinya cukup simpel,5,2024-04-13 18:21:38,aplikasinya cukup simpel,aplikasinya cukup simpel,"['aplikasinya', 'cukup', 'simpel']","['aplikasinya', 'cukup', 'simpel']","['aplikasi', 'cukup', 'simpel']",aplikasi cukup simpel
Aplikasinya sangat menbamtu,5,2024-04-13 17:33:49,aplikasinya sangat menbamtu,aplikasinya sangat menbamtu,"['aplikasinya', 'sangat', 'menbamtu']","['aplikasinya', 'sangat', 'menbamtu']","['aplikasi', 'sangat', 'menbamtu']",aplikasi sangat menbamtu
Sangat baguss pokonya,5,2024-04-13 17:23:29,sangat baguss pokonya,sangat baguss pokonya,"['sangat', 'baguss', 'pokonya']","['sangat', 'baguss', 'pokonya']","['sangat', 'baguss', 'poko']",sangat baguss poko
Nice app,5,2024-04-13 17:17:14,nice app,nice app,"['nice', 'app']","['nice', 'app']","['nice', 'app']",nice app
penipu,2,2024-04-13 17:14:23,penipu,penipu,['penipu'],['penipu'],['tipu'],tipu
Mantappp,5,2024-04-13 14:09:15,mantappp,mantappp,['mantappp'],['mantappp'],['mantappp'],mantappp
Ketipu nih min pesen d redorz 3 kamar smpe sno gk ada datanya nangis bnget😭,1,2024-04-13 12:59:08,ketipu nih min pesen d redorz 3 kamar smpe sno gk ada datanya nangis bnget😭,ketipu nih min pesen d redorz kamar smpe sno gk ada datanya nangis bnget,"['ketipu', 'nih', 'min', 'pesen', 'd', 'redorz', 'kamar', 'smpe', 'sno', 'gk', 'ada', 'datanya', 'nangis', 'bnget']","['ketipu', 'nih', 'min', 'pesen', 'd', 'redorz', 'kamar', 'smpe', 'sno', 'gk', 'datanya', 'nangis', 'bnget']","['tipu', 'nih', 'min', 'sen', 'd', 'redorz', 'kamar', 'smpe', 'sno', 'gk', 'data', 'nang', 'bnget']",tipu nih min sen d redorz kamar smpe sno gk data nang bnget
Mudah booking tiket nya,5,2024-04-13 12:22:08,mudah booking tiket nya,mudah booking tiket nya,"['mudah', 'booking', 'tiket', 'nya']","['mudah', 'booking', 'tiket', 'nya']","['mudah', 'booking', 'tiket', 'nya']",mudah booking tiket nya
Recomended untuk kalian yang ingin bepergian / travel,5,2024-04-13 11:39:21,recomended untuk kalian yang ingin bepergian / travel,recomended untuk kalian yang ingin bepergian travel,"['recomended', 'untuk', 'kalian', 'yang', 'ingin', 'bepergian', 'travel']","['recomended', 'kalian', 'bepergian', 'travel']","['recomended', 'kalian', 'pergi', 'travel']",recomended kalian pergi travel
very good application,5,2024-04-13 11:12:28,very good application,very good application,"['very', 'good', 'application']","['very', 'good', 'application']","['very', 'good', 'application']",very good application
mantap,5,2024-04-13 10:23:55,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap
Mantul,5,2024-04-13 10:21:18,mantul,mantul,['mantul'],['mantul'],['mantul'],mantul
"Mau ngajuin reschedule penginapan karena sakit aja ditolak padahal juga udah bayar lunas, harusnya dipertimbangkan juga Mana di refund juga ngga bisa, emang paling bener beli di apk sebelah",1,2024-04-13 09:36:48,"mau ngajuin reschedule penginapan karena sakit aja ditolak padahal juga udah bayar lunas, harusnya dipertimbangkan juga mana di refund juga ngga bisa, emang paling bener beli di apk sebelah",mau ngajuin reschedule penginapan karena sakit aja ditolak padahal juga udah bayar lunas harusnya dipertimbangkan juga mana di refund juga ngga bisa emang paling bener beli di apk sebelah,"['mau', 'ngajuin', 'reschedule', 'penginapan', 'karena', 'sakit', 'aja', 'ditolak', 'padahal', 'juga', 'udah', 'bayar', 'lunas', 'harusnya', 'dipertimbangkan', 'juga', 'mana', 'di', 'refund', 'juga', 'ngga', 'bisa', 'emang', 'paling', 'bener', 'beli', 'di', 'apk', 'sebelah']","['mau', 'ngajuin', 'reschedule', 'penginapan', 'sakit', 'aja', 'ditolak', 'padahal', 'udah', 'bayar', 'lunas', 'harusnya', 'dipertimbangkan', 'mana', 'refund', 'ngga', 'emang', 'paling', 'bener', 'beli', 'apk', 'sebelah']","['mau', 'ngajuin', 'reschedule', 'inap', 'sakit', 'aja', 'tolak', 'padahal', 'udah', 'bayar', 'lunas', 'harus', 'timbang', 'mana', 'refund', 'ngga', 'emang', 'paling', 'bener', 'beli', 'apk', 'belah']",mau ngajuin reschedule inap sakit aja tolak padahal udah bayar lunas harus timbang mana refund ngga emang paling bener beli apk belah
so far so good..sering ada diskon,5,2024-04-13 08:53:43,so far so good..sering ada diskon,so far so good sering ada diskon,"['so', 'far', 'so', 'good', 'sering', 'ada', 'diskon']","['so', 'far', 'so', 'good', 'sering', 'diskon']","['so', 'far', 'so', 'good', 'sering', 'diskon']",so far so good sering diskon
"Naik bus Adi lancar terpaksa beli tiket lagi ,, karena gak da pemberitahuan dari pusat,,ni bukan redbus citra Adi lancar,,ku jadi keluar uang dua kali",1,2024-04-13 08:09:48,"naik bus adi lancar terpaksa beli tiket lagi ,, karena gak da pemberitahuan dari pusat,,ni bukan redbus citra adi lancar,,ku jadi keluar uang dua kali",naik bus adi lancar terpaksa beli tiket lagi karena gak da pemberitahuan dari pusat ni bukan redbus citra adi lancar ku jadi keluar uang dua kali,"['naik', 'bus', 'adi', 'lancar', 'terpaksa', 'beli', 'tiket', 'lagi', 'karena', 'gak', 'da', 'pemberitahuan', 'dari', 'pusat', 'ni', 'bukan', 'redbus', 'citra', 'adi', 'lancar', 'ku', 'jadi', 'keluar', 'uang', 'dua', 'kali']","['naik', 'bus', 'adi', 'lancar', 'terpaksa', 'beli', 'tiket', 'gak', 'da', 'pemberitahuan', 'pusat', 'ni', 'bukan', 'redbus', 'citra', 'adi', 'lancar', 'ku', 'jadi', 'keluar', 'uang', 'kali']","['naik', 'bus', 'adi', 'lancar', 'paksa', 'beli', 'tiket', 'gak', 'da', 'pemberitahuan', 'pusat', 'ni', 'bukan', 'redbus', 'citra', 'adi', 'lancar', 'ku', 'jadi', 'keluar', 'uang', 'kali']",naik bus adi lancar paksa beli tiket gak da pemberitahuan pusat ni bukan redbus citra adi lancar ku jadi keluar uang kali
Customer Service yg bales auto bott.. di email ngga ada respon... tolong dong CS tiket saya mau nanya pesanan tiket saya.. sudah tf tapi belum ada notifikasi... tolong respon cepat,2,2024-04-12 22:30:11,customer service yg bales auto bott.. di email ngga ada respon... tolong dong cs tiket saya mau nanya pesanan tiket saya.. sudah tf tapi belum ada notifikasi... tolong respon cepat,customer service yg bales auto bott di email ngga ada respon tolong dong cs tiket saya mau nanya pesanan tiket saya sudah tf tapi belum ada notifikasi tolong respon cepat,"['customer', 'service', 'yg', 'bales', 'auto', 'bott', 'di', 'email', 'ngga', 'ada', 'respon', 'tolong', 'dong', 'cs', 'tiket', 'saya', 'mau', 'nanya', 'pesanan', 'tiket', 'saya', 'sudah', 'tf', 'tapi', 'belum', 'ada', 'notifikasi', 'tolong', 'respon', 'cepat']","['customer', 'service', 'yg', 'bales', 'auto', 'bott', 'email', 'ngga', 'respon', 'dong', 'cs', 'tiket', 'mau', 'nanya', 'pesanan', 'tiket', 'tf', 'notifikasi', 'respon', 'cepat']","['customer', 'service', 'yg', 'bales', 'auto', 'bott', 'email', 'ngga', 'respon', 'dong', 'cs', 'tiket', 'mau', 'nanya', 'pesan', 'tiket', 'tf', 'notifikasi', 'respon', 'cepat']",customer service yg bales auto bott email ngga respon dong cs tiket mau nanya pesan tiket tf notifikasi respon cepat
"kamar sudah penuh masih di jual, saya rugi banyak sekali.!",1,2024-04-12 22:17:00,"kamar sudah penuh masih di jual, saya rugi banyak sekali.!",kamar sudah penuh masih di jual saya rugi banyak sekali,"['kamar', 'sudah', 'penuh', 'masih', 'di', 'jual', 'saya', 'rugi', 'banyak', 'sekali']","['kamar', 'penuh', 'jual', 'rugi', 'banyak', 'sekali']","['kamar', 'penuh', 'jual', 'rugi', 'banyak', 'sekali']",kamar penuh jual rugi banyak sekali
Sangat Bagus,5,2024-04-12 18:08:04,sangat bagus,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",sangat bagus
sangat terbantu,5,2024-04-12 17:08:31,sangat terbantu,sangat terbantu,"['sangat', 'terbantu']","['sangat', 'terbantu']","['sangat', 'bantu']",sangat bantu
Susah ajukan reschedule,1,2024-04-12 16:39:49,susah ajukan reschedule,susah ajukan reschedule,"['susah', 'ajukan', 'reschedule']","['susah', 'ajukan', 'reschedule']","['susah', 'aju', 'reschedule']",susah aju reschedule
Tidak ada pemilihan berangkat plabuhan Banjarmasin,1,2024-04-12 15:49:53,tidak ada pemilihan berangkat plabuhan banjarmasin,tidak ada pemilihan berangkat plabuhan banjarmasin,"['tidak', 'ada', 'pemilihan', 'berangkat', 'plabuhan', 'banjarmasin']","['pemilihan', 'berangkat', 'plabuhan', 'banjarmasin']","['pilih', 'berangkat', 'plabuhan', 'banjarmasin']",pilih berangkat plabuhan banjarmasin
Oke sangat membantu,5,2024-04-12 15:11:18,oke sangat membantu,oke sangat membantu,"['oke', 'sangat', 'membantu']","['oke', 'sangat', 'membantu']","['oke', 'sangat', 'bantu']",oke sangat bantu
"Sangat bagus, jadi mudah buat beli tiket apapun, transportasi atau hiburan.😄",5,2024-04-12 14:16:22,"sangat bagus, jadi mudah buat beli tiket apapun, transportasi atau hiburan.😄",sangat bagus jadi mudah buat beli tiket apapun transportasi atau hiburan,"['sangat', 'bagus', 'jadi', 'mudah', 'buat', 'beli', 'tiket', 'apapun', 'transportasi', 'atau', 'hiburan']","['sangat', 'bagus', 'jadi', 'mudah', 'buat', 'beli', 'tiket', 'apapun', 'transportasi', 'hiburan']","['sangat', 'bagus', 'jadi', 'mudah', 'buat', 'beli', 'tiket', 'apa', 'transportasi', 'hibur']",sangat bagus jadi mudah buat beli tiket apa transportasi hibur
Good,5,2024-04-12 14:02:48,good,good,['good'],['good'],['good'],good
good,4,2024-04-12 11:40:13,good,good,['good'],['good'],['good'],good
Good aplikasi,5,2024-04-12 11:34:46,good aplikasi,good aplikasi,"['good', 'aplikasi']","['good', 'aplikasi']","['good', 'aplikasi']",good aplikasi
"Saya selalu pesan tiket disini dan selalu memuaskan tapi saat ini saya merasa sangat kecewa dengan refund tiket internasional saya yang selalu ditunda..kemarin tanggal estimasi di tgl 12 dan sekarang tgl estimasi berubah lagi ke tgl 13....ini sudah hampir 1,5 bulan..tapi dananya belum juga dicairkan..saya sangat butuh uang itu..tolong segera di tindak lanjuti masalah ini🙏🙏🙏",1,2024-04-12 00:30:06,"saya selalu pesan tiket disini dan selalu memuaskan tapi saat ini saya merasa sangat kecewa dengan refund tiket internasional saya yang selalu ditunda..kemarin tanggal estimasi di tgl 12 dan sekarang tgl estimasi berubah lagi ke tgl 13....ini sudah hampir 1,5 bulan..tapi dananya belum juga dicairkan..saya sangat butuh uang itu..tolong segera di tindak lanjuti masalah ini🙏🙏🙏",saya selalu pesan tiket disini dan selalu memuaskan tapi saat ini saya merasa sangat kecewa dengan refund tiket internasional saya yang selalu ditunda kemarin tanggal estimasi di tgl dan sekarang tgl estimasi berubah lagi ke tgl ini sudah hampir bulan tapi dananya belum juga dicairkan saya sangat butuh uang itu tolong segera di tindak lanjuti masalah ini,"['saya', 'selalu', 'pesan', 'tiket', 'disini', 'dan', 'selalu', 'memuaskan', 'tapi', 'saat', 'ini', 'saya', 'merasa', 'sangat', 'kecewa', 'dengan', 'refund', 'tiket', 'internasional', 'saya', 'yang', 'selalu', 'ditunda', 'kemarin', 'tanggal', 'estimasi', 'di', 'tgl', 'dan', 'sekarang', 'tgl', 'estimasi', 'berubah', 'lagi', 'ke', 'tgl', 'ini', 'sudah', 'hampir', 'bulan', 'tapi', 'dananya', 'belum', 'juga', 'dicairkan', 'saya', 'sangat', 'butuh', 'uang', 'itu', 'tolong', 'segera', 'di', 'tindak', 'lanjuti', 'masalah', 'ini']","['selalu', 'pesan', 'tiket', 'disini', 'selalu', 'memuaskan', 'merasa', 'sangat', 'kecewa', 'refund', 'tiket', 'internasional', 'selalu', 'ditunda', 'kemarin', 'tanggal', 'estimasi', 'tgl', 'sekarang', 'tgl', 'estimasi', 'berubah', 'tgl', 'hampir', 'bulan', 'dananya', 'dicairkan', 'sangat', 'butuh', 'uang', 'segera', 'tindak', 'lanjuti', 'masalah']","['selalu', 'pesan', 'tiket', 'sini', 'selalu', 'muas', 'rasa', 'sangat', 'kecewa', 'refund', 'tiket', 'internasional', 'selalu', 'tunda', 'kemarin', 'tanggal', 'estimasi', 'tgl', 'sekarang', 'tgl', 'estimasi', 'ubah', 'tgl', 'hampir', 'bulan', 'dana', 'cair', 'sangat', 'butuh', 'uang', 'segera', 'tindak', 'lanjut', 'masalah']",selalu pesan tiket sini selalu muas rasa sangat kecewa refund tiket internasional selalu tunda kemarin tanggal estimasi tgl sekarang tgl estimasi ubah tgl hampir bulan dana cair sangat butuh uang segera tindak lanjut masalah
Yang eror sistem nya yang di rugikan customernya,1,2024-04-11 21:41:15,yang eror sistem nya yang di rugikan customernya,yang eror sistem nya yang di rugikan customernya,"['yang', 'eror', 'sistem', 'nya', 'yang', 'di', 'rugikan', 'customernya']","['eror', 'sistem', 'nya', 'rugikan', 'customernya']","['eror', 'sistem', 'nya', 'rugi', 'customernya']",eror sistem nya rugi customernya
Aplikasinya bagus dan cocok untuk berpergian dan traveling,5,2024-04-11 10:34:01,aplikasinya bagus dan cocok untuk berpergian dan traveling,aplikasinya bagus dan cocok untuk berpergian dan traveling,"['aplikasinya', 'bagus', 'dan', 'cocok', 'untuk', 'berpergian', 'dan', 'traveling']","['aplikasinya', 'bagus', 'cocok', 'berpergian', 'traveling']","['aplikasi', 'bagus', 'cocok', 'pergi', 'traveling']",aplikasi bagus cocok pergi traveling
OPS,5,2024-04-11 09:28:23,ops,ops,['ops'],['ops'],['ops'],ops
Aplikasi taikkkkk!!!!!,1,2024-04-11 02:24:08,aplikasi taikkkkk!!!!!,aplikasi taikkkkk,"['aplikasi', 'taikkkkk']","['aplikasi', 'taikkkkk']","['aplikasi', 'taikkkkk']",aplikasi taikkkkk
sangat membantu,5,2024-04-10 23:43:19,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'bantu']",sangat bantu
good choice for book anything,5,2024-04-10 21:40:28,good choice for book anything,good choice for book anything,"['good', 'choice', 'for', 'book', 'anything']","['good', 'choice', 'for', 'book', 'anything']","['good', 'choice', 'for', 'book', 'anything']",good choice for book anything
Terbaik. 👍🏼,5,2024-04-10 15:57:18,terbaik. 👍🏼,terbaik,['terbaik'],['terbaik'],['baik'],baik
Sarana Rekomendasi dalam mencari berbagai kebutuhan Tiket terutama tiket akomodasi,5,2024-04-10 13:32:15,sarana rekomendasi dalam mencari berbagai kebutuhan tiket terutama tiket akomodasi,sarana rekomendasi dalam mencari berbagai kebutuhan tiket terutama tiket akomodasi,"['sarana', 'rekomendasi', 'dalam', 'mencari', 'berbagai', 'kebutuhan', 'tiket', 'terutama', 'tiket', 'akomodasi']","['sarana', 'rekomendasi', 'mencari', 'berbagai', 'kebutuhan', 'tiket', 'terutama', 'tiket', 'akomodasi']","['sarana', 'rekomendasi', 'cari', 'bagai', 'butuh', 'tiket', 'utama', 'tiket', 'akomodasi']",sarana rekomendasi cari bagai butuh tiket utama tiket akomodasi
membantu,5,2024-04-10 12:07:07,membantu,membantu,['membantu'],['membantu'],['bantu'],bantu
kesimpulannya keren,5,2024-04-10 08:07:37,kesimpulannya keren,kesimpulannya keren,"['kesimpulannya', 'keren']","['kesimpulannya', 'keren']","['simpul', 'keren']",simpul keren
murah dan nyaman,5,2024-04-10 08:04:42,murah dan nyaman,murah dan nyaman,"['murah', 'dan', 'nyaman']","['murah', 'nyaman']","['murah', 'nyaman']",murah nyaman
keren,5,2024-04-09 23:53:30,keren,keren,['keren'],['keren'],['keren'],keren
Jam keberangkatan parah di ticket jam 07.00 malam taunya berangkat jam 17.30 sore bagaimana ya tolong donk di perbaiki lagi sistem menyesal saya pakai aplikasi tiket udah tidak ada refund,1,2024-04-09 22:40:59,jam keberangkatan parah di ticket jam 07.00 malam taunya berangkat jam 17.30 sore bagaimana ya tolong donk di perbaiki lagi sistem menyesal saya pakai aplikasi tiket udah tidak ada refund,jam keberangkatan parah di ticket jam malam taunya berangkat jam sore bagaimana ya tolong donk di perbaiki lagi sistem menyesal saya pakai aplikasi tiket udah tidak ada refund,"['jam', 'keberangkatan', 'parah', 'di', 'ticket', 'jam', 'malam', 'taunya', 'berangkat', 'jam', 'sore', 'bagaimana', 'ya', 'tolong', 'donk', 'di', 'perbaiki', 'lagi', 'sistem', 'menyesal', 'saya', 'pakai', 'aplikasi', 'tiket', 'udah', 'tidak', 'ada', 'refund']","['jam', 'keberangkatan', 'parah', 'ticket', 'jam', 'malam', 'taunya', 'berangkat', 'jam', 'sore', 'bagaimana', 'donk', 'perbaiki', 'sistem', 'menyesal', 'pakai', 'aplikasi', 'tiket', 'udah', 'refund']","['jam', 'berangkat', 'parah', 'ticket', 'jam', 'malam', 'tau', 'berangkat', 'jam', 'sore', 'bagaimana', 'donk', 'baik', 'sistem', 'sesal', 'pakai', 'aplikasi', 'tiket', 'udah', 'refund']",jam berangkat parah ticket jam malam tau berangkat jam sore bagaimana donk baik sistem sesal pakai aplikasi tiket udah refund
Apk nya mantap sekali,4,2024-04-09 17:20:50,apk nya mantap sekali,apk nya mantap sekali,"['apk', 'nya', 'mantap', 'sekali']","['apk', 'nya', 'mantap', 'sekali']","['apk', 'nya', 'mantap', 'sekali']",apk nya mantap sekali
perbaiki lg ya,4,2024-04-09 16:02:52,perbaiki lg ya,perbaiki lg ya,"['perbaiki', 'lg', 'ya']","['perbaiki', 'lg']","['baik', 'lg']",baik lg
ManTaBsss,5,2024-04-09 07:28:05,mantabsss,mantabsss,['mantabsss'],['mantabsss'],['mantabsss'],mantabsss
sangat membantu,5,2024-04-08 18:44:38,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'bantu']",sangat bantu
